"";"delim";"auteurs.0.prenom";"date_soutenance";"directeurs_these.0.prenom";"president_jury.prenom";"titres.fr"
"121";",";"Sylvie-Anne";2000-01-01;"André";NA;"Compétences et identité d'un groupe professionnel : les cuisiniers de la restauration collective"
"122";",";"Bariş";2006-01-01;"Hamit";NA;"Médias, pouvoirs et violence : gestion des oppositions kurde et islamiste en Turquie"
"123";",";"Émmanuelle";2002-01-01;"Daniel";NA;"L' échange de faveurs au sein des couches moyennes chiliennes : de l'entraide informelle à la régulation sociale"
"124";",";"Delphine";2004-01-01;"Remi";NA;"Désordres familiaux et pratiques d'encadrement : Les assistantes sociales face aux enfants ""en danger"""
"125";",";"Catherine";2005-01-01;"Albert";NA;"Mise à mort des animaux, travail des hommes : une ethnographie aux frontières de l'humain"
"126";",";"Yasmine";2003-01-01;"Edmond";NA;"Paperasse, guichets et modernisation de l'accueil : les rapports pratiques entre classes populaires et administrations"
"127";",";"Denis";2001-01-01;"Robert";NA;"Inscription territoriale et action collective : les occupations illégales de terres urbaines depuis les années 1980 en Argentine"
"128";",";"Anna";2012-01-01;"Alain";NA;"En quête d'Altérité : pour une sociologie des acteurs, lieux et pratiques de la scène rock à Léningrad/Saint-Pétersbourg dans les années 1970-2000"
"129";",";"Evelyne";2000-01-01;"Nicole";NA;"L'attitude des jeunes étrangers face au choix d'une nationalité sous la loi du 22 juillet 1993 : identités, mémoire et appartenances"
"130";",";"Pascal";2012-01-01;"Patrice";NA;"Les métamorphoses de l'État social : la réforme managériale de l'assurance maladie et le nouveau gouvernement des pauvres"
"131";",";"Esra";2019-01-24;"Hamit";"Ferdi de";"Sacralisation de la politique en Turquie : l'exemple Kurde"
"132";",";"Geoffrey";2006-01-01;"Michel";NA;"Sujet, expérience et expertise dans le mouvement altermondialiste"
"133";",";"Raëd";2013-01-01;"Hamit";NA;"Face à la crise : effets durables des crises sur les expériences politiques au Liban. Étude de cas d'étudiants des Beaux-Arts de Hadath"
"134";",";"Angela";2006-01-01;"Dominique";NA;"La nation impossible ? : identité collective et construction nationale en République de Moldova"
"135";",";"Séverine";2010-01-01;"François";NA;"Les sociabilités étudiantes : étude comparative de trois universités en Corée du sud, France et Portuga"
"136";",";"Gaëlle";2014-01-01;"Didier";NA;"La propriété ou la vie ? : économies morales, actions collectives et politiques du médicament dans la négociation d'accords de libre-échange : Maroc, Thaïlande, États-Unis"
"137";",";"Cecilia";2008-01-01;"François";NA;"La ségrégation scolaire dans la banlieue de Buenos Aires : entre la polarisation des classes moyennes et la régulation atomisée"
"138";",";"Mouloud";2008-01-01;"Hamit";NA;"Les Maîtres de l'heure : moments eschatologiques en islam méditerranéen (1847-1908)"
"139";",";"Audrey";2008-01-01;"Laurent";NA;"L'appropriation des dispositifs de gestion locale et participative de l'eau : composer avec une pluralité de valeurs, d'objectifs et d'attachements"
"140";",";"Brigitte";2008-01-01;"Michel";NA;"La créativité altermondialiste : discours, organisation, action directe"
"141";",";"Sophie-Hélène";2008-01-01;"Danièle";NA;"Conversion, éducation et communauté : une étude socio-anthropologique, transnationale et contemporaine des pratiques et représentations des ""Saints derniers jours"" ou ""Mormons"""
"142";",";"Cecilia Del Pilar";2008-01-01;"Daniel";NA;"Le monde de la rue à Bogota : la débrouillardise comme l'art de faire de la multitude"
"143";",";"Christophe";2006-01-01;"Gérard";NA;"Le sens des limites : structuration du corps des masseurs-kinésithérapeutes, définition sociale de leur compétence et imposition scolaire de la domination médicale"
"144";",";"Caroline";2007-01-01;"Nicolas";NA;"Rendre le rare commun : expériences de maladies rares et construction d'une action collective"
"145";",";"Oriol";2010-01-01;"Carlos";NA;"La face occulte de l'hypermarché : consentement et résistance au travail des prolétaires d'un hypermarché"
"146";",";"Ana Claudia";2010-01-01;"Nicolas";NA;"Construire sa légitimité au quotidien : le travail micropolitique autour d'une Equipe Mobile de Psychiatrie-Précarité"
"147";",";"Barbara";2010-01-01;"Philippe";NA;"Alertes, évaluations et conflits : étude des controverses autour de la sécurité des médicaments en Europe et aux Etats-Unis"
"148";",";"Hakan";2006-01-01;"Farhad";NA;"Une identité générationnelle-territoriale ? : les jeunes d'origine alévie du quartier Gazi d'Istanbul"
"149";",";"Simone";2009-01-01;"Nilüfer";NA;"La deuxième génération de musulmans en Italie : nouvelles pratiques quotidiennes chez les jeunes de l'association GMI"
"150";",";"Dimitrios";2009-01-01;"Nancy L.";NA;"Grèce, pays d'immigration : perspectives historiques et sociologiques"
"151";",";"Alberto";2007-01-01;"Dominique";NA;"Les étrangers dans la queue : construction d'une catégorie sociale et expérience de l'attente devant les bureaux de l'Administration en Espagne"
"152";",";"Mohammad al";2009-01-01;"Farhad";NA;"L'idéologie de l'islamisme radical : la nouvelle génération des intellectuels islamistes"
"153";",";"Marion";2013-01-01;"Michel";"Catherine";"Compter pour peser : la quantification de la ""santé au travail"" en entreprises : entre institutionnalisation et ambiguïtés conceptuelles"
"154";",";"Svetlana";2010-01-01;"Monique de";NA;"Raisons de dire, façons de faire : intellectuels en Bulgarie ""postsocialiste"" (1989-2009)"
"155";",";"Leyla";2012-01-01;"Farhad";NA;"La femme iranienne dans l'espace public post-révolutionnaire à travers les œuvres des romancières contemporaines (1990-2005)"
"156";",";"Carol";2006-01-01;"Nilüfer";NA;"Traditions et transformations dans la vie des femmes afghanes des camps de réfugiés au Pakistan depuis le 11 septembre 2001"
"157";",";"Matthieu";2005-01-01;"Serge";NA;"Le travailleur associatif : un salarié de droit privé au service de l'action publique"
"158";",";"Michela";2012-01-01;"Michel";NA;"Médecine, sexualité et excision : sociologie de la réparation clitoridienne chez des femmes issues des migrations d'Afrique subsaharienne."
"159";",";"Valérie";2003-01-01;"Jean-Michel";NA;"Les étudiants de première année à l'université et le travail scolaire : l'exemple de deux filières : Sciences et AES"
"160";",";"Mathieu";2006-01-01;"Marie-Vic";NA;"L'espace d'un oubli : le rôle des mémoires collectives dans la construction du sentiment d'appartenance territoriale : le cas du Parc naturel régional du Verdon"
"161";",";"Cédric";2004-01-01;"Louis";NA;"""Qu'avez-vous fait de l'argent des juifs?"" : problématisation et publicisation de la question ""des fonds juifs et de l'or nazi"" par la presse suisse, 1995-1998"
"162";",";"Luciana de Barros";2002-01-01;"Dominique";NA;"Pauvreté, démocratie et protection sociale au Brésil"
"163";",";"Xavier";2000-01-01;"Michel";NA;"La France en Guyane ou le pouvoir ultra-périphèrique : sociologie de l'action administrative et institution imaginaire de la différence culturelle dans un département français d'Amérique"
"164";",";"Ellen";2005-01-01;"François";NA;"Que peut apporter aux adolescents(es) scolarisés(ées) un stage ponctuel chez un employeur ? : éléments pour une réflexion : étude en France et en Angleterre"
"165";",";"Eric";2004-01-01;"Claudine";NA;"Vers un statut de corps malade : le cas des insuffisants repiratoires chroniques"
"166";",";"Ahmed";2001-01-01;"Michel";NA;"Des mondes de l'ethnicité : la communauté d'expériences des héritiers de l'immigration maghrébine en France"
"167";",";"Gwendoline";2005-01-01;"Danièle";NA;"Quand les femmes prennent la parole : démocratisation institutionnelle et professionnalisation des ministères au sein de l'église évangélique de Polynésie française"
"168";",";"Claire";2005-01-01;"Christian";NA;"Sociologie d'un événement : le tremblement de terre d'Assise (Italie, 26 septembre 1997)"
"169";",";"Nicolas de";2000-01-01;"Danièle";NA;"Société monétaire et religion : la circulation de l'argent dans les paroisses catholiques contemporaines en France"
"170";",";"Veronica";2005-01-01;"Jean";NA;"La citoyenneté sud-africaine : constructions et problématiques"
"171";",";"Stephen";2003-01-01;"Alain";NA;"L'aigle et le qilin : sociologie des représentations stratégiques américaines de la Chine à partir de la guerre du Golfe et sous les mandats de Clinton"
"172";",";"Philippe";2001-01-01;"Didier";NA;"Éthique humanitaire et politiques de santé : études sur la prise en charge du sida et de la toxicomanie auprès de personnes en situation sociale extrême"
"173";",";"Anne";2012-01-01;"Stéphane";NA;"« Tous propriétaires ! » : politiques urbaines et parcours d'accédants dans les lotissements périurbains (1970-2010)"
"174";",";"Cathel";2003-01-01;"André";NA;"La fidélisation des intérimaires permanents : une stabiblité négociée"
"175";",";"Farid";2012-01-01;"Christian";NA;"Construire son chez-soi : dynamiques de l'espace domestique et mutations socio-familiales à Tozeur"
"176";",";"Absa";2012-01-01;"Charles";NA;"Marché du travail et structuration d'un groupe professionnel : le cas des travailleuses domestiques du Sénégal"
"177";",";"Nahid";2013-01-01;"Farhad";NA;"Les traces du mouvement des femmes en Iran (1989-2009) : luttes, défis, réussites"
"178";",";"Teresa";2012-01-01;"Jean-Pierre";NA;"Double regard sur les mémoires et les pratiques alimentaires à Arez (Nordeste de l'Alto Alentejo) et à Lannéanou (Nord du Finistère) : manques, âges d'or, aisances et abondances"
"179";",";"Claudia Trinidad";2013-01-01;"Claude";NA;"« L'embonpoint normal » : une étude comparative sur la norme de corpulence au Mexique et au Chili"
"180";",";"Paula";2017-12-22;"Jean-Louis";"Philippe";"Les pratiques culturelles des Libanais à l'ère numérique : une question d'identité"
"181";",";"Anahita";2011-01-01;"Nilüfer";NA;"Sous les pavés, la terre : culte du bien-être et nouveaux métiers : la naturopathie en transformation à la conquête du marché"
"182";",";"Sebastián";2010-01-01;"Louis";NA;"Critique de la politique, expertise et transparence : la corruption en tant que problème public en Argentine (1989-2001)"
"183";",";"Koichi";2019-12-17;"Maurice";"Jean-Paul";"Tester la Nation : politiques de santé et l'innovation technologique pour le diagnostic des maladies infectieuses au Brésil"
"184";",";"Pia Valeria";2010-01-01;"Alain";NA;"Faire valoir sa légitimité : radicalité et banalité dans les mouvements des Piqueteros en Argentine des années 1990-2007"
"185";",";"Kamil Cem";2010-01-01;"François";NA;"Diversité des consciences ouvrières à l'ère des pragmatismes : l'ouvrier de l'État-nation versus l'ouvrier de la glocalisation : une étude sur le cas des ouvriers d'Isdemir, de Petkim et la TTK en Turquie"
