"","auteurs.0.prenom","date_soutenance","directeurs_these.0.prenom","president_jury.prenom","titres.fr"
"42","Renata Aparecida",2016-11-16,"Jean-Paul","Christophe","L'agriculture écologique comme qualité de vie des agriculteurs : approche comparative entre deux régions métropolitaines en France et au Brésil"
"43","Lydie",2012-01-01,"Olivier",NA,"Gouverner les catastrophes : politiques, savoirs et organisation de la gestion des catastrophes en Afrique du Sud"
"44","Thibaut",2012-01-01,"Hugues",NA,"La guerre en temps de paix ? : violences dans la société civile (ganstérisme de masse, terrorisme, émeutes) et militarisation des dispositifs de pacification : la France, l'Afrique du Sud et les Etats-Unis en perspective"
"45","Natalia",2013-03-28,"Didier","Silvia","Retour forcé. Pratiques et politiques d’expulsion d’immigrés en France. 2000-2010"
"46","Hocine",2012-01-01,"Pierre",NA,"Accessibilité et main-d'oeuvre handicapée en France et en Europe : une analyse socio-politique des difficultés d’accès à l’emploi des handicapés diplômés : cas particulier"
"47","Héloïse",2015-07-07,"Alain","Jean-Hugues","Les mondes de la chasse : contribution à une étude de rapports sociaux spatialisés en Seine-et-Marne et en Côte-d’Or"
"48","Camille",2013-11-29,"Claude",NA,"Dynamiques professionnelles et salariales des journalistes"
"49","Saker",2013-04-04,"Habib","Frédéric","Dynamiques contemporaines de la pauvreté dans l’Égypte rurale : cas de Nazlet Salmân"
"50","Sibylla",2012-01-26,"Philippe","Christian","Lieux de prostitution : une analyse sociologique de la prostitution de rue à Luxembourg"
"51","Kimia",2013-12-12,"Frédéric","Philippe","« Design moi un métier » : modalités d’accès et socialisations au groupe professionnel des designers : monographie de deux grandes écoles de design de la région parisienne"
"52","Michaël V.",2014-06-25,"Michel","Jean-Martin","Le rêve, la magie et la métaphore : pour une sociologie de l'homme éveillé"
"53","Solène",2014-07-04,"Emmanuel","Fabienne","L' ""orientation tout au long de la vie"" : du mot d'ordre à la réalité. Acteurs, dispositifs, pratiques"
"54","Frédéric",2013-12-02,"Daniel","Frédéric","Approche sociologique de la criminalité financière"
"55","Chloé",2011-04-04,"Laurent","Emmanuel","Genres et socialisation a Hollywood : sociologie des films américains des réalisateurs de cinéma d’origine européenne expatries aux États-Unis entre 1900 et 1945"
"56","Jessica",2015-11-26,"Denis","Yves","Participation politisation et rapports de genre : changement social en milieu populaire (Venezuela, 2002-2012)"
"57","Julien",2014-12-13,"Emmanuel",NA,"Coopérer pour résister : interactions marchandes et réseaux multiniveaux dans un salon d'échanges de programmes de télévision en Europe Centrale et Orientale"
"58","Simon",2013-12-04,"Alain","Danilo","L’axiomatique des réseaux : entre réalités sociales et impensés éthico-politiques"
"59","Laurent",2013-01-01,"Numa",NA,"La mémoire du collectif : recherche sur la mémoire ouvrière : deux générations de métallurgistes à Vierzon"
"60","Dimitrios",2011-01-01,"Miguel",NA,"Sociologie et utopie socialiste : essai sur Saint-Simon"
"61","Olivier",2010-01-01,"Michel",NA,"Les associations face à récurrence de l'exclusion"
"62","Olivia",2008-01-01,"Norbert",NA,"Plaintes, normes et intégration : Le cas d’une organisation bureaucratique"
"63","Jérémy",2016-05-20,"Anne","Jacques","Genèse d’un système global surf : regards comparés des Hawai‘i à la Californie : traditions, villes, tourismes, et subcultures (1778–2016)"
"64","Clément",2019-03-25,"Philippe","Philippe","Un cancer… et après ? : trajectoires de maladie et vécu d’hommes atteints d’une tumeur testiculaire"
"65","Hiroki",2016-11-21,"Burhan","Bernard","La critique du despotisme à l’époque de la Nahḍa arabe : de la spécificité à l'universalité"
"66","Morgane",2016-05-02,"Bruno","Emmanuel","La khâgne, un nouveau chapitre : élaborations et reconstructions du rapport à la lecture des étudiants en classe préparatoire littéraire"
"67","Léa",2015-11-20,"Bruno","Jacques","Des jardinier.e.s partagé.e.s entre discours et pratiques : du lien social à l'entre-soi"
"68","Camila",2016-12-16,"Bruno","Denis","De monde carcéral à espace culturel : mémoire collective, patrimonialisation et réappropriations. Le cas de la transformation de l'Ex-cárcel de Valparaiso (Chili)"
"69","Nataliya",2014-06-28,"Michel","Patrick","Vers un renouveau de la fonction éducative dans les sociétés postmodernes"
"70","Dominique",2007-01-01,"Jacques",NA,"Jury et démocratie : une liaison fructueuse ? : l’exemple de la cour d’assises française"
"71","Emilian",2011-07-11,"Stéphane","Florin","Eléments du discours communiste : représentations de Lénine dans les textes publiés par les partis communistes français et roumain"
"72","Lardja",2011-12-16,"Philippe","Patrick","Des représentations sociales du VIH/sida à la construction d'une identité séropositive : analyse de discours en pays Moba (Nord-Togo)"
"73","Vanderlúcia",2014-06-10,"Pierre","Eneida","Les Tenetehar-Tembé du Guama et du Gurupi, Povo verdadeiro ! : ""santé différenciée"", territoire et indianité dans l'action publique locale"
"74","Maxime",2018-11-16,"François","Christian","Produire des valeurs scolaires dans toutes les classes ? : flux et fictions dans l'enseignement et les établissements"
"75","Maria Florencia",2017-11-13,"Denis","Étienne","La théâtralité retrouvée. Étude socio-esthétique du théâtre indépendant à Buenos Aires (1983-2003)"
"76","Dong Ki",2012-11-13,"Anne-Marie","Olivier","Loisirs et Bien-être : les personnes âgées face aux défis du vieillissement : le cas de la Corée du Sud dans une perspective comparée"
"77","Luisa Fernanda",2012-12-20,"Christian","María-Eugenia","""De totumas y Estantillos"". Processus migratoires, dynamiques d’appartenance et de différenciation entre les Gens du Centre (Amazonie colombienne)"
"78","Laetitia",2011-04-01,"Jean-Pierre","Philippe","Les musiciens de variété à l'épreuve de l'intermittence : des précarités maîtrisées ?"
"79","Tal",2017-05-07,"Nacira","Judith Pamela","Vers une conscience radicale de libération : récits palestiniens et israéliens de trans/formation décoloniale"
"80","Noémie",2018-12-17,"Élisabeth","Nicolas","L'accès - ou le non-accès - à la protection des mineur.e.s isolé.e.s en situation de migration : l'évaluation de la minorité et de l'isolement ou la mise à l'épreuve de la crédibilité narrative, comportementale et physique des mineur.e.s isolé.e.s"
"81","Tchéouénou Patient",2010-01-27,"Frederik","Régine","La mise sous surveillance du ""client roi"" : analyse sociologique des dispositifs et pratiques d'encadrement des clients-usagers dans les centres commerciaux"
"82","Mélissa",2012-11-24,"Anne-Marie","Roger","Vieillissement et temporalités sociales : Une comparaison France – Québec"
"83","Lucile",2012-11-14,"Dominique","Patrice","Hôpital et médecine de ville face au cancer : Les enjeux de la coordination de la prise en charge des malades atteints de cancer au sein de réseaux de santé"
"84","Aurélie",2012-11-24,"Birgitta","Jean-Claude","Pour une sociologie du journal télévisé : Enquête sur ses publics et ses représentations"
"85","Aminata",2012-11-23,"Denys","Cécile","Les stratégies et initiatives des femmes dans le secteur de la microfinance : Le cas du Sénégal"
"86","Catherine",2001-01-01,"Pierre",NA,"L'art de gouverner la science dans le système public français, le cas du CNRS : représentation, évaluation, direction de quatre disciplines"
"87","François-Régis",2009-01-01,"Denis",NA,"Le contrôle de gestion comme scène du gouvernement des groupes de sociétés : la place du calcul économique dans l'action organisée"
"88","Jacques",2004-01-01,"Pierre",NA,"Étude socio-anthropologique des joueurs d'échecs : des conséquences de l'exercice d'une pratique ludique sur la vie sociale"
"89","Sarah",2005-01-01,"Sylvy",NA,"Privatisation des services urbains et desserte des quartiers défavorisés : une responsabilité sociale en partage : le cas des services d'eau et d'assainissement, d'électricité et de télécommunications dans les quartiers 'carenciados' de l'agglomération de Buenos Aires (Argentine) de 1991 à 2004"
"90","Solenne",2009-01-01,"Maryse",NA,"Les imams en France : réinvention et tentatives d'appropriation d'un magistère religieux en contexte migratoire"
"91","Hélène",2003-01-01,"Martine",NA,"Les bibliothèques pour enfants entre 1945 et 1975 : modèles et modélisation d'une culture pour l'enfance"
"92","Christiane",2006-01-01,"Numa",NA,"La famille et la toxicomanie : de la déviance et des représentations sociales au lien social intergénérationnel"
"93","Ousman",2002-01-01,"Maxime",NA,"L' approche de l'éco-développement participatif au Niger : discours et pratiquesele cas de Mayahi"
"94","Emmanuel",2007-01-01,"Philippe",NA,"Idéologie et rhétorique : réflexions sur la fonction épidictique dans le discours en démocratie"
"95","Flor Aurora",2002-01-01,"Pierre-Philippe",NA,"Du trafic de la cocai͏̈ne en Colombie à ""la guerre contre la drogue"" : une interprétation historique de la stratégie américaine jusqu'au Plan Colombie"
"96","Gaëlle",2004-01-01,"Bruno",NA,"Les troupes, les compagnies théâtrales et leurs organisations"
"97","Laurent",2004-01-01,"Jean-Louis",NA,"Une contribution à la nouvelle sociologie économique : réciprocité et économie solidaire"
"98","Hsiao-Ying",2002-01-01,"Jean-Claude",NA,"La construction socio-médiatique d'une identité taiwanaise"
"99","Emmanuel",2006-01-01,"Vincent de",NA,"L'homoparentalité, côté pères"
"100","Fernando Garcia de",2002-01-01,"Nicole",NA,"Réforme agraire : étude de cas au Nord-est du Brésil"
"101","Emmanuelle",2002-01-01,"Jean-Claude",NA,"Lien de parenté, formes de sociabilité, pratiques téléphoniques : rôles et places du téléphone dans les modes de vie des ""vieux"" et des ""jeunes"""
"102","Anne",2005-01-01,"Régine",NA,"Les urbanistes : un groupe professionnel en voie de constitution"
"103","Lise",2004-01-01,"Françoise",NA,"Les stratégies organisationnelles de la mise en oeuvre d'une politique publique d'emploi pour les jeunes"
"104","Hakima",2007-01-01,"Claudine",NA,"Les pouvoirs domestiques entre dissimulation et affirmation : une comparaison entre des femmes marocaines « d’ici et de là-bas »"
"105","Gérald",2004-01-01,"Norbert",NA,"Genèse, cristallisation et transformations des normes de consommation : le cas de l'avènement du téléphone mobile en France"
"106","Jean-Baptiste",2000-01-01,"Thérèse",NA,"Immigration et intégration des congolais en France, entre crises et recherche de prestige social"
"107","Susana Estela",2004-01-01,"Edmond",NA,"Formes institutionnelles de régulation et désaffiliation en Argentine : une analyse des métamorphoses de l'intervention de l'Etat et du rapport salarial (1976-2003)"
"108","François",2006-01-01,"Dominique",NA,"La quête de professionnalisation de la médecine d'urgence"
"109","Sylvie",2001-01-01,"Pierre",NA,"Stratégies et pratiques syndicales au tournant du XXIe siècle : une contribution aux théories de l'action collective"
"110","Julie",2003-01-01,"Martine",NA,"Garçons et filles entre école, famille et quartier : l'univers quotidien de lycéens de banlieue"
"111","Papa",2003-01-01,"Pierre-Philippe",NA,"Impact de l'émigration sur les mutations socio-économiques des villages de Matam (Sénégal)"
"112","Sylvaine",2001-01-01,"Carmen",NA,"Fonctions et usages de la photographie en anthropologie des cafés bellevillois (Paris XXe) à l'île de Djerba (Tunisie) : échanges entre des juives d'origine tunisienne et une anthropologue-photographe"
"113","Gilles",2006-01-01,"Maxime",NA,"Manger et élever des moutons au Maroc : sociologie des préférences et des pratiques de consommation et de production de viande"
"114","Laurent",2000-01-01,"André",NA,"Le lecteur au XIXe siècle, d'Emma Bovary à Robert Greslou"
"115","Levent",2004-01-01,"André",NA,"La place privilégiée des forces armées dans le contexte politique turc contemporain : une étude sur le pouvoir militaire en Turquie"
"116","Jn-François",2011-01-01,"Vincent de",NA,"Comment devenir ""je""dans un monde qui vous met hors-jeu ? : Le défi de la construction d'un individu - sujet chez les jeunes du Bel-Air (Port au Prince, Haïti) de 1986 à 2006"
"117","Sébastien",2007-01-01,"Philippe",NA,"« La sociologie est à la mode » : Productions et producteurs de sociologie en France autour de 1900"
"118","Aude",2004-01-01,"François de",NA,"Les relations entre enfants dans les familles recomposées : déjouer la germanité et jouer du fraternel"
"119","Maria Inès",2005-01-01,"Francis",NA,"Politiques sociales et accès aux droits : les jeunes en institutions correctionnelles dans la Province de Córdoba"
"120","Philippe",2006-01-01,"Agnès",NA,"Pragmatisme, éducation, nouvelles classes moyennes : le cas des associations de parents d'élèves"
"121","Isabelle",2005-01-01,"Margaret",NA,"Dérégulation du temps de travail et recompositions du marché du travail : inégalités entre les sexes, disparités entre femmes : trois figures du salariat féminin du secteur tertiaire"
"122","Pauline",2010-01-01,"Sophie",NA,"Les patrons de la vertu : entrepreneurs de morale et instruments de mesure dans la construction de la responsabilité sociale des entreprises"
"123","Yeqin",2008-01-01,"Pierre-Paul",NA,"Construction des espaces urbains et rénovation d'un quartier de Shanghai : la problématique de la migration et du changement social"
"124","Christophe",2009-01-01,"Colette",NA,"Le RMI à l'épreuve de l'activation : centralité du travail et construction de la responsabilité dans les situations de pauvreté valide"
"125","Carlos Efrén",2002-01-01,"Christian",NA,"Populations noires et politique dans le Pacifique colombien : paradoxes d'une inclusion ambigu͏̈e"
"126","Jérôme",2007-01-01,"Norbert",NA,"La dynamique sociale de la confiance au cœur du projet : Le cas d’un projet industriel d’informatique"
"127","Iman",2008-01-01,"Pierre",NA,"Les femmes algériennes et le sport : l'accession des femmes algériennes au métier de Conseiller en Sport"
"128","Blé Marcel",2002-01-01,"Georges",NA,"Pluralisme thérapeutique et recours aux soins en milieu rural ivoirien : approche socio-anthropologique du syncrétisme thérapeutique à Guibéroua, République de Côte d'Ivoire"
"129","Florentin",2003-01-01,"Sylvaine",NA,"La Société civile : acteur alternatif de développement en Afrique de l'Ouest?"
"130","Marie",2000-01-01,"Françoise",NA,"L'évolution organisationnelle, un ""ordre asymétrique négocié"" sous influence sociétale : analyse comparative de deux sociétés privées de service"
"131","Abel",2000-01-01,"Philippe",NA,"Mythes du salut et temporalité en Afrique centrale : le Matsouanisme à Brazzaville, entre modernisation et démocratisation"
"132","Florence",2000-01-01,"Jacqueline",NA,"Progression instituée et progression vécue : du cognitif à l'engagement, le développement des compétences des infirmier(e)s et aides soignant(e)s en milieu hospitalier"
"133","Véronique",2000-01-01,"Jean-François",NA,"Aménager, bricoler, décorer : une affaire de famille"
"134","Aissatou",2007-01-01,"François",NA,"Tourisme durable : impasse ou levier de développement au Sénégal ?"
"135","Philippe",2003-01-01,"Michael",NA,"Peut-on réviser les cadres conventionnels du marché du travail pour réduire le chômage en France ? : l'expérience de pactes territoriaux pour l'emploi"
"136","Wiebke",2006-01-01,"Terry",NA,"Dominance Nord atlantique et courants contre hégémoniques dans le développement des sociologies africaines et latino-américaines"
"137","Hélène",2002-01-01,"Lucie",NA,"Chauffeurs-routiers : du métier à l'emploi"
"138","Yves",2009-01-01,"Jean-Pierre",NA,"Des difficultés d'apprentissage à la difficulté scolaire : les maîtres de l'école primaire dans leurs classes et dans les dispositifs de remédiation"
"139","Ugo",2010-01-01,"Alain",NA,"L'enseignement professionnel dans l'École massifiée : fonctions, structure et usages d'un ordre d'enseignement dominé"
"140","Vladimir",2007-01-01,"Wanda",NA,"Le Caucase du nord-ouest dans le système de relations interculturelles et interrégionales du XIIIe au XIXe siècles"
"141","Zénon",2012-01-01,"Pierre",NA,"Pour une contribution à des conditions de réussite d'une action collective organisée : le cas de Noël Kakadò en Guadeloupe"
"142","Gwenola",2005-01-01,"François",NA,"Les relations familiales à l'épreuve de l'incarcération : solidarités et sentiments à l'ombre des murs"
"143","Cédric",2010-01-01,"Florence",NA,"Des significations imaginaires politiques contemporaines : les discours sur la ""société de l'information"" : le cas de la France (1978-2008)"
"144","Frédéric",2005-01-01,"Jean-Michel",NA,"Les musées de collectivités, les conservateurs et la mise en oeuvre des politiques culturelles"
"145","Marc",2003-01-01,"Alain",NA,"Capital social, école et entreprises sur le marché du travail : les dynamiques relationnelles des organisations éducatives dans l'accès à l'emploi"
"146","Sophie",2012-01-01,"Sonia",NA,"L' exil des militantes ou la délocalisation de la lutte : analyse processuelle des engagements d'exilées Algériennes et Iraniennes impliquées dans les combats féministes en France"
"147","Olivier",2006-01-01,"Norbert",NA,"Le bricolage comme mode de régulation dans une organisation en mouvement : le cas des gestionnaires des ressources humaines à La Poste"
"148","Cécile",2004-01-01,"Serge",NA,"Devenir adulte : sociologie comparée de la jeunesse en Europe"
"149","Jérôme",2012-01-01,"Maryse",NA,"La banlieue sur commande : enquête sur l'intériorisation d'un sens commun journalistique"
"150","Sophie",2005-01-01,"François",NA,"Les temps de travail des salariés de la grande distribution : contraintes organisationnelles et compromis sociaux : analyse de deux hypermarchés en France et au Vietnam"
"151","Luci",2002-01-01,"Michael",NA,"Les sources politico-religieuses de l'idéologie critique du service social au Brésil (1960-1990)"
"152","Dali Serge",2008-01-01,"Alain",NA,"Le microcrédit dans les pays en développement : étude de cas en Côte d'Ivoire : vers une autre explication des difficultés de remboursement et-ou du non-remboursement"
"153","Michel",2003-01-01,"Frederik",NA,"Le vécu ou l'expertise : Etude comparative des dispositifs de formation aux métiers d'éducateur spécialisé et d'assistant de service social"
"154","Hélène",2001-01-01,"Nicole",NA,"Mettre en technique : conseillers agricoles et pollution de l'eau en Bretagne"
"155","Aktas",2011-01-01,"Sonia","David","La candidature de la Turquie musulmane à l'Union Européenne : au regard de la presse française"
"156","Mohammed",2003-01-01,"Aïssa",NA,"Les élites et les changements socio-politiques au Maroc : des élites bloquées ?"
"157","Béatrice",2004-01-01,"Michel",NA,"Le changement dans les organisations et la transformation des cultures"
"158","Jérôme",2004-01-01,"Yves",NA,"A la recherche du temps gagné : sens et usages sociaux des règles autour des 35 heures"
"159","Fabienne",2003-01-01,"Michel",NA,"Sociologie d'une discipline hétéronome : le monde des formations en gestion entre universités et entreprises en France : années 1960-1990"
"160","Nancy",2005-01-01,"Jean","Catherine","Réforme agraire et dynamiques sociales du conflit foncier dans les campagnes sud-africaines"
"161","Renaud",2007-01-01,"Florence",NA,"La naissance du foyer ? : conditions matérielles des entrées dans les carrières parentales et de l' accueil du premier enfant en France à la fin du XXe siècle"
"162","Françoise",2009-01-01,"Alain",NA,"La question de la sécurité dans l'aviation civile : la navigation aérienne à l'épreuve de la société du risque"
"163","Emmanuel",2003-01-01,"Jean",NA,"Nature humaine et maîtrise des risques majeurs : Proposition d'une grille d'analyse et de management des établissements industriels"
"164","Bernard",2005-01-01,"Norbert",NA,"Sociologie des logiques d'insertion : processus sociopolitiques et identités"
"165","Ashveen",2004-01-01,"Catherine",NA,"La Construction de l'espace génomique en France : la place des dispositifs instrumentaux"
"166","Cindy",2009-01-01,"Numa",NA,"De la référence aux normes à la découverte de nouvelles normes de vie : lectures et vécus de la maladie d'Alzheimer"
"167","Mustapha",2006-01-01,"Aïssa",NA,"Immigration, militantisme politique et mouvement associatif des marocains en France : des origines aux évolutions"
"168","Eric",2002-01-01,"Norbert",NA,"Risques au travail et dynamiques des organisations : le cas d'une entreprise de services"
"169","Robert",2003-01-01,"Aïssa",NA,"Mort, rites, deuil, accompagnement, entre traditions et nouvelles demandes dans deux types de population en France, catholique et musulmane"
"170","Christel",2008-01-01,"Numa",NA,"La culture de la distinction : unité institutionnelle et lignes de tensions au sein du corps des officiers de l'armée de terre"
"171","Sylvie",2008-01-01,"Bruno",NA,"Médias et pratiques démocratiques en Afrique de l'Ouest : usages des radios au Burkina Faso"
"172","Christine",2000-01-01,"Jean-Michel",NA,"Des femmes au monde des hommes : la construction de l'identité des femmes investies dans un sport ""masculin"" : analyse comparée du football, des boxes poings-pieds et de l'haltérophilie"
"173","Pascal",2005-01-01,"Raymond",NA,"Les théories explicatives de la magie : les sciences sociales à l'épreuve d'une croyance collective"
"174","Valérie",2003-01-01,"Vincent de",NA,"Les managers de l'âme. Le développement personnel : gestion de la subjectivité et modèle régulatoire dans l'entreprise"
"175","Christian",2008-01-01,"Margaret",NA,"L'avenir inégal : trajectoires de femmes et d’hommes après un licenciement collectif"
"176","Seydou Hamady",2002-01-01,"Pierre-Philippe",NA,"Islam chez les Maures, les Hâlpulâr et les Soninké : maraboutisme, confrérisme, syncrétisme, identités nationales et nationalismes"
"177","Benoît",2007-01-01,"Christine",NA,"L'émergence des accréditations : origine et efficacité d'un label"
"178","Hervé",2000-01-01,"Pierre",NA,"Socio-anthropologie des urbanites du déplacement de surface : professionnels et usagers"
"179","Lise",2004-01-01,"Pierre",NA,"La professionnalité des aides-soignantes en maison de retraite : entre subjectivité et réification"
"180","Blandine",2007-01-01,"Nicole",NA,"Le statut du territoire dans les rapports au travail des femmes en milieu rural : vers une typologie des modes d’habiter par l’analyse des rapports des individus à leurs lieux"
"181","Hélène",2005-01-01,"John","Bernard","Étude sociologique interculturelle des pratiquants de golf, de rugby et de surf, en Australie et en France"
"182","Cécile",2005-01-01,"Jacques",NA,"Sociologie politique comparée des réformes de la justice : cas de la Belgique, de la France et de l'Italie"
"183","Marie-Clémence",2009-01-01,"Jean-Hugues",NA,"La famille à l'épreuve des risques : logiques éducatives et stratification sociale"
"184","Jérôme",2000-01-01,"André",NA,"L'alchimie thermale : eau, medecine et loisirs. histoire du thermalisme en france au xixeme siecle."
"185","Irène",2012-01-01,"Vincent de",NA,"L' approche biographique dans l'orientation professionnelle : de la sociologie clinique aux contributions de l'existentialisme sartrien"
"186","Giovanni",2003-01-01,"Philippe",NA,"Emile Durkheim et la philosophie : histoires, généalogies, thèmes"
"187","Eric",2005-01-01,"Pierre",NA,"Les usages du contrat emploi-jeune dans les associations : les premiers pas professionnels des jeunes au coeur des mutations contemporaines"
"188","Cyril",2006-01-01,"Alain",NA,"Gestion des flux de l'information dans un espace semi-public : l'usage des nouvelles technologies dans le métro parisien"
"189","Daniel",2000-01-01,"Raymond","François","Essor et développement de l'économie de la santé en France"
"190","Yan",2005-01-01,"Erhard",NA,"La construction sociale des districts technologiques : une analyse socio-économique des modalités d'émergence des districts spécialisés dans les technologies de l'information et de la communication"
"191","Nadia Margarita Maria",2006-01-01,"Maxime",NA,"Les organisations paysannes, leurs relations et leur rôle dans la participation au développement rural : le cas de la région Huetar Norte au Costa Rica"
"192","Éric",2005-01-01,"Philippe",NA,"Question sociale et démocratie dans l'oeuvre de Tocqueville"
"193","Abdelmadjid",2002-01-01,"Benjamin",NA,"Musiques et musiciens de Constantine au XXe siècle"
"194","Laura",2002-01-01,"Bruno",NA,"Domestiques, concierges et prostituées : migration et mobilité sociale des femmes immigrées espagnoles à Paris, équatoriennes et colombiennes en Espagne"
"195","Joël",2000-01-01,"Anne-Marie",NA,"Fondements et usages des politiques transversales d'action sociale : l'exemple de la politique de la ville"
"196","Ania",2007-01-01,"Bruno",NA,"Les échos d'un peuple : l'évolution intergénérationnelle des formes de politisation péroniste en Argentine à la fin du XXe siècle"
