"","auteurs.0.prenom","date_soutenance","directeurs_these.0.prenom","president_jury.prenom","titres.fr"
"24","Antoine",2013-01-01,"Charles",NA,"Des juges profanes : juges de paix et juges de proximité au défi de l'intégration judiciaire"
"25","Youssouf",2014-03-06,"Josiane","Maurice","Gouvernance du transport urbain et mobilité durable dans le district d'Abidjan (Côte d'Ivoire)"
"26","Magali",2011-01-01,"Jocelyne",NA,"Propositions d'identités dans le champ radiophonique : Étude comparative de discours d'animateurs d'émissions de radio dites brésiliennes, portugaises et lusophones en France"
"27","Gabrielle",2017-10-27,"Annie","Patrice","Permanence et transformations d'une institution de prévention : la médecine du travail : de l'évaluation de l'aptitude à celle des risques professionnels"
"28","Anselme",2016-03-31,"Pascal","Roger","L'Université des Montagnes : une alternative citoyenne face à la crise de l'enseignement supérieur au Cameroun : (1990-2015)"
"29","Pierre-Emmanuel",2018-09-24,"David","Thierry","Sociabilités de comptoir : une ethnographie des débits de boissons"
"30","Valérie",2014-11-28,"Pascal","Virginie","La grande précarité au rythme de l’urgence : mobilisation du personnel autour du patient sans-abri dans un service hospitalier d’urgences"
"31","Abdoulaye-Sall",2016-12-12,"Jean-Marie","Emmanuel","L’intervention socioculturelle des Maisons des Jeunes et de la Culture de la Communauté Urbaine du Grand Nancy : référentiels, représentations sociales et configurations préférentielles"
"32","Emmanuel",2016-06-21,"Frédéric","Patrick","Institutionnalisation et déclin d'économies critiques du champ universitaire français : contributions à une socio-histoire des disciplines du social"
"33","Éric",2012-09-24,"Jean-Pierre",NA,"Identités, ethnicités, au travail : le cas de l'hôtellerie de luxe en Malaisie"
"34","Laëtitia",2012-10-04,"Jean-Michel","Bruno","Le miracle et l'enquête : Analyse sociologique de l'expertise médicale des guérisons déclarées ""miraculeuses"" à Lourdes."
"35","Sandrine",2014-09-29,"Roland","Suzie","Les professeurs principaux de 3ème, acteurs majeurs de l'orientation scolaire et producteurs d'inégalités"
"36","Hélène",2013-01-01,"Annie",NA,"Une institution « totale » : enquête ethnographique d'un service d'oncopédiatrie"
"37","Marion",2015-12-07,"Vincent","Philippe","Le spécifique comme norme, l'invention comme pratique : l'accompagnement des personnes atteintes de maladie d'Alzheimer ou de maladie apparentée en établissement d'hébergement pour personnes âgées dépendantes"
"38","Roxane",2016-01-23,"Jean-Michel","Philippe","La mise en œuvre des aménagements de peine en Franche-Comté : un processus actionné par l'organisation de la chaîne judiciaire et pénitentiaire et une approche du système nature - individualité - société"
"39","Elsa",2016-02-05,"Anne-Marie","Bernard","Paysans de passage : les fermiers du mouvement Terre de Liens en France"
"40","Kelly",2016-10-20,"Alain","Philippe","L’hypothèse migratoire comme horizon d’émancipation ? : une ethnographie des jeunesses dakaroises"
"41","Johanna",2012-09-08,"Patrick","Catherine","Instruire la demande d'asile : étude comparative du processus décisionnel au sein de l'administration allemande et française"
"42","Patricia",2013-10-11,"Roland","Catherine","Démocratie sexuelle, sexualité et rapports sociaux : les représentations de la sexualité dans la presse"
"43","Vincent",2013-06-12,"Martine",NA,"Jardins et jardiniers : les pieds dans la terre, la tête dans les nuages. Une anthropologie du potager"
"44","Clémentine",2014-04-01,"Anne-Sophie","Patrick","La Laïcité à l'école : une croyance normative entre éthique de responsabilité et éthique de conviction"
"45","Laurent",2011-09-15,"Laurence","Andrea","De l'exil au retour : dispositifs de rapatriement et carrières migratoires des retournés congolais (RDC)"
"46","Christophe",2012-10-22,"Daniel",NA,"L'Etat, le proviseur et le territoire : une sociologie de l'art de gouverner par les segments"
"47","Feriel",2011-01-01,"Marlaine","Janine","Le mouvement des femmes en Algérie : stratégie de lutte contre le code de la famille"
"48","Brigitte",2013-09-24,"Denis",NA,"Modes d'insertion socio-spatiale du bâti agricole périurbain et sociabilités locales : le cas des ""hameaux agricoles"" dans l'Hérault"
"49","Céline",2015-03-19,"Francis","Pascal","Wajdi Mouawad : un théâtre politique ?"
"50","Sylvie",2014-01-01,"Jean-Noël",NA,"L'urgence à plusieurs « vitesses » : fracture territoriale et inégalité sociale dans l'accès aux soins d'urgence"
"51","Aurélie",2012-01-01,"Frédéric",NA,"Les salles de cinéma d'art et d'essai : sociologie d'un label culturel entre marché politique et politique publique"
"52","Claude",2012-12-01,"Gilles","Jean-Marie","La différenciation individuelle : processus et mécanismes"
"53","Jean",2015-11-26,"Bernard",NA,"Pratiques économiques et pensées du changement dans un service public marchand : une sociologie des chemins de fer français aux XIXe et XXe siècles"
"54","Shirin",2016-09-21,"Anne-Sophie","Séverine","Les raisons sociologiques de l'émergence des nouveaux mouvements religieux en Iran : de la religion capturée à la religion abritée"
"55","Frédéric",2016-05-06,"Jean-Pierre","Bruno","Le processus de production des œuvres dans l'art culinaire contemporain français"
"56","Alzilène",2014-05-14,"Patrick","Laurent","Le rôle du centre historique dans la ville : une étude comparative entre João Pessoa et Tours"
"57","Michel",2015-12-11,"Gilles","Fabienne","La carte scolaire à l'école primaire. Analyse de ses mises en œuvre"
"58","Aboubakar",2016-11-17,"Suzie","Marie-France","Commerce informel des hydrocarbures au Bénin"
"59","Louis",2016-06-22,"Michel","Stéphane","L’élite artistique des cités : métamorphoses de l’ancrage du hip-hop dans les quartiers populaires en France (1981-2015)"
"60","Kévin",2013-09-19,"Rémi","Bernard","Vers une gouvernance territoriale de l'environnement ? : analyse comparée des politiques départementales de gestion de l'eau destinée à la consommation humaine et des déchets municipaux"
"61","Hélène",2013-01-28,"Licia",NA,"Beyrouth et les enjeux de sa reconstruction : le cas des quartiers du centre-ville et de Hamra"
"62","Marion",2014-01-01,"Véronique",NA,"Penser le fait prostitutionnel : Enjeux moraux et politiques de la question sanitaire dans le traitement sociétal d'une activité stigmatisée"
"63","Yann",2014-07-11,"Daniel","Gilles","Politiser l'action publique : une approche par les instruments : le cas du programme Constellation"
"64","Cécile",2015-07-07,"David","Gilles","La fabrique de la ménopause : genre, apprentissage et trajectoires"
"65","Eric",2013-11-27,"Martine","Philippe","Les formes élémentaires de la prise de drogue : santé, sacré et déviance"
"66","Fabien",2017-06-26,"Angelina","Michel","Costurando caminos : dynamiques de la migration transnationale bolivienne à destination de São Paulo : mobilités, trajectoires, espaces et réseaux"
"67","Mi-ae",2018-09-25,"Marc","Alain","Sortir de la chaîne du care De travailleuses socialistes chaoxianzu (朝鮮族)  à domestiques migrantes en France, Corée du Sud et Chine"
"68","Adrien",2014-12-09,"Marie-Pierre",NA,"Soutien social et réseau personnel au cœur de l’expérience du cancer"
"69","Frédérique",2014-12-08,"Bernard","Stéphane","Ecrire pour résister au déclassement social : analyse sociologique de la carrière et des pratiques littéraires d'Emile Zola"
"70","Yassin",2016-11-23,"Jean-Noël","Bernard","Citoyennetés populaires en Suisse : Sociabilités et politique à Renens (1945-2013)"
"71","Muriel",2016-12-13,"Vincent","Geneviève","L'épreuve de la retraite en milieu protégé. Les travailleurs handicapés dans la fabrique du vieillissement."
"72","Hermine",2014-01-01,"Ahmed",NA,"Le phénomène de guérison dans les églises pentecôtistes et en médecine traditionnelle au Gabon : cas de la stérilité à Libreville"
"73","Henri",2016-12-14,"Marie-Pierre","Anne","Les tests génétiques vendus en libre accès sur l'Internet : une médicalisation sans médecin ?"
"74","Anne",2015-09-03,"Pascal","François","Vieillesse et fragilité : le parcours et le devenir des personnes âgées de 75 ans ou plus hospitalisées pour fracture du col du fémur à Strasbourg"
"75","Hakki",2013-06-27,"Paul","Didier","Littérature, courants et politique dans les années 1960 et 1970 en Turquie"
"76","Julia",2012-09-21,"Denis",NA,"Les pratiques de jardinage face aux risques sanitaires et environnementaux  des pesticides : les approches différenciées de la France et du Québec"
"77","Aline",2012-12-14,"Francis","Patrice","Pour une socio-anthropologie des secrets de famille : l'impact du mythe familial sur la socialisation de l'individu par la révélation d'un secret."
"78","Pascaline",2015-01-07,"Alain","Antoine","Retours volontaires, retours forcés hors d’Europe. Une socio-anthropologie de l’éloignement des étrangers. Le cas de la France"
"79","Marie",2008-01-01,"Florent",NA,"Francis Ponge : une trajectoire déployée dans l'espace littéraire : approche sociologique de la dynamique pongienne"
"80","Diane Marina",2013-06-24,"Christophe","Helga-Jane","Les enjeux de la gestion du risque environnemental dans la zone de N'Toum au Gabon : cas de l'entreprise CIMGABON"
"81","Marine",2013-11-29,"Jean-Marc","Pierre","Deux ""petits métiers"" au coeur de la ville : éboueur, balayeur. Comment supporter le ""sale travail"" ?"
"82","Jorge Andres",2011-10-18,"Anne-Marie","Antoine","Représentations et fonctions sociales des musiques d'inspiration andine en France (1951-1973)"
"83","Maïmouna Yatana",2011-01-01,"Francis",NA,"Le sale et le propre : modes de gestion des déchets ménagers et logiques identitaires à Ouagadougou"
"84","Nicolas",2006-01-01,"François",NA,"La démocratie locale et la participation associative à la politique municipale : l'exemple de la ville de Rouen"
"85","Nghi",2009-03-18,"Bernard","Jean-Claude","La reconfiguration des districts industriels au Vietnam : du monde local au monde global, une analyse sociologique des mutations d'un village de métier"
"86","Guillaume",2011-09-19,"Stéphane","Cécile","De l’engagement au désengagement corporel : une approche sociologique plurielle des dynamiques, ruptures et permanences identitaires face à l’acceptation du danger dans les sports de nature"
"87","Nicolas",2010-03-29,"Claude",NA,"L’institution prud’homale,  cette excentrique que l’on voulait rationaliser"
"88","Marion",2009-09-28,"Sylvette","Noria","Vivre sur un espace en renouvellement urbain : l'exemple du projet d'aménagement de l'Ile de Nantes et de ses commerçants"
"89","Mehdi",2011-06-29,"Angelina",NA,"L'étape marocaine des transmigrants subsahariens en route vers l'Europe : l'épreuve de la construction des réseaux et de leurs territoires"
"90","Barbara",2011-10-21,"Georges","Joël","Voir le monde en couleurs : sociologie de l’ethnicité et de la construction de soi dans les collèges ségrégués."
"91","Caroline",2011-05-20,"Anne",NA,"La légitimité des artistes de cabaret"
"92","Pierre",2011-06-23,"Daniel",NA,"L’homme en fauteuil : approche de genre : contribution à une sociologie critique du handicap"
"93","Bertrand Dimitri",2011-09-21,"Jean-Louis","Suzie","Rapports de qualification en milieux ouvriers : du primat des qualifications attribuées au contrôle des rapports salariaux dans les usines gabonaises du bois"
"94","Tristan",2011-06-29,"Jean-Pierre",NA,"Une sociologie de la décision alimentaire : l'observance diététique chez des mangeurs hypercholesterolémiques"
"95","Thibault",2017-02-20,"Philippe","Céline","La société connectée : contribution aux analyses sociologiques des liens entre technique et société à travers l'exemple des outils médiatiques numériques"
"96","Damien",2017-09-28,"Jean-Bruno","Céline","L'ésotérisme grand public : le Réalisme Fantastique et sa réception. Contribution à une sociologie de l'occulture"
"97","Yann",2015-04-16,"Thierry","Philippe","Du Free Fight aux Arts Martiaux Mixtes : sportivisation, violence et réception d'un sport de combat extrême"
"98","Zakari",2017-01-09,"Catherine","Bernard","Sociologie de l'assainissement : latrinisation, représentations sociales et logiques d'action dans les villes moyennes au Burkina Faso"
"99","Maria Clara de Moraes Prata",2018-01-30,"Jean-Pierre","Mabel","Sous le poids des normes : les conceptions du manger sain chez les diététiciennes et les jeunes femmes françaises, espagnoles et brésiliennes"
"100","Elsa",2015-12-07,"Michèle","Franck","Les conséquences socio-spatiales de l'action publique patrimoniale : le cas de la cité épiscopale d'Albi inscrite sur la liste du patrimoine mondial de l'Unesco"
"101","Benoit",2016-11-25,"Gilles","Olivier","Sauver l'honneur"". Appartenances et respectabilités populaires en milieu rural"
"102","Véronique",2017-12-11,"Philippe","Christophe","Gestion des conflits dans le deuil au prisme des négociations, transactions sociales et compromis : le cas du deuil d'un roturier chez les Bamiléké de l'Ouest Cameroun"
"103","Cécile",2017-06-01,"Jean-Marc","Lise","Géobiologie, fengshui et démarche environnementale dans l’habitat : pratiques professionnelles et représentations"
"104","Séraphin Ildevert",2011-06-14,"Mohand",NA,"Intégration socio-spatiale des résidents du foyer de la SONACOTRA du Pont du Cens de Nantes dans l'espace nantais"
"105","Maite",2018-12-18,"Francis",NA,"Langue basque, identités et territoire. Logiques d'action et mobilisations collectives autour de la scolarisation en Basque"
"106","Constantino Humberto",2011-09-30,"Mohand","Aïssa","Education, intégration sociale et développement   en Angola : le cas du Cabinda, problématique d'une construction  sociale  et culturelle en équilibre"
"107","Timo",2017-11-23,"Jens","Jérôme","La désynchronisation des temps professionnels : vers un nouvel ordre temporel ?"
"108","Marie",2017-11-09,"Sylvain","Christine","Les savoirs comme construction collective : enquête au lycée général et en première année à l'Université"
"109","Thierry",2012-04-02,"Patrick","Michèle","Phénoménologie de la situation médiative"
"110","Thibault",2012-05-07,"Martine",NA,"Pour une analyse complexe de la mondialisation. Socio-anthropologie comparative du cas de la grande distribution alimentaire au Maroc, en France et aux États-Unis"
"111","Annalisa",2011-11-23,"Éric","Jean-Claude","L'""immigré-e travailleur-se"". : La construction et les usages sociaux des catégories de l'action publique en France et en Italie"
"112","Joseph",2016-12-08,"Christian",NA,"Les déterminants socio-économiques et culturels de la jeunesse dans le Kenya rural; région de Masaba en pays Kisii."
"113","Janina",2016-12-08,"Catherine","Âna Aleksandrovna","Politiques du 'care' en France et en Allemagne : étude des parcours des assistant-e-s maternel-le-s issu-e-s de l'immigration"
"114","Marianne",2012-11-27,"Bernard","Olivier","La construction du problème social de la dyslexie en France et au Royaume-Uni : acteurs, institutions et pratiques : (De la fin du XIXe au début du XXIe siècle)"
"115","Apollinaire-Sam",2018-07-10,"Roland","Antigone","Les femmes pasteurs et prophétesses dans les Églises pentecôtistes congolaises : enjeux d'autorité, représentations et rapports de genre"
"116","Miguel",2015-01-22,"Jean-Louis","Jean-Émile","Resserrer le dispositif européen de l'enseignement supérieur par les acquis d'apprentissage"
"117","Jean Baptiste",2016-11-21,"Gilles",NA,"L’organisation des circuits courts par les intermédiaires : la construction sociale de la proximité dans les marchés agroalimentaires"
"118","Julien",2012-12-11,"Dominique","Pierre","Figures du « réseautage en ligne » sur les réseaux socionumériques professionnels : le cas d’un groupe d’anciens sur LinkedIn"
"119","Géraldine",2018-06-29,"Jean-Marie","Jean-Yves","Usages d’Internet et implication dans le travail scolaire : approche ethnographique et quantitative d’étudiants de licence"
"120","Anne",2012-12-18,"Catherine",NA,"Identités, guerres et conflits dans le livre pour enfants"
"121","Ali",2011-01-01,"François",NA,"Une recherche sur la mobilité sociale intergénérationnelle des enseignants-chercheurs en France"
"122","Andriei",2011-02-25,"Paul",NA,"Ingénieur, politique et société dans le contexte de la reestructuration capitaliste brésilienne"
"123","Oscar",2013-02-28,"Vincent","Agnès","Racisme et discrimination à l'université : lectures croisées des sociétés française et colombienne à partir de l'expérience vécue des étudiants noirs à Paris et Bogota"
"124","Moustapha",2008-01-01,"Pierre",NA,"Approche comparative de l’appropriation de la téléphonie mobile et de l’internet dans les lieux d’accès publics des villes de Rennes et de Thiès"
"125","Benjamin",2012-12-07,"Jens","Gilbert de","Une sociologie des ambitions : les adultes en formation professionnelle"
"126","Bertrand",2012-12-07,"Patrick",NA,"Les représentations collectives de l’événement-catastrophe : étude sociologique sur les peurs contemporaines"
"127","Emilie",2006-01-01,"François",NA,"Les soins palliatifs en équipe mobile : de la dénaturation à la reconfiguration d'un modèle"
"128","Gérard",2009-01-01,"Anne-Marie",NA,"Pour une analyse des conduites artistiques des travailleurs sociaux en milieu professionnel"
"129","Hakima",2005-01-01,"David",NA,"Filles au risque de l'adolescence : une anthropologie de la souffrance au féminin"
"130","Tossou",2008-01-01,"Gilles",NA,"La problématique de l'action publique au Togo. Etude de cas : la lutte contre le sida"
"131","Anne-Laure",2003-01-01,"Jean-Marie",NA,"Les transports en commun à Marseille : du lien social dans les autobus de la RTM"
"132","Patricia",2002-01-01,"Yves",NA,"Les résidences services pour personnes vivant seules : de nouvelles formes de voisinage"
"133","Sophie",2001-01-01,"Paul",NA,"Les cadres à l'épreuve de l'employabilité : le chômage des cadres en France dans les années 1990"
"134","Baptiste",2009-01-01,"Charles",NA,"Panser les deux mondes : médecines et sports, entre principes hippocratiques et performances"
"135","Bernardin",2001-01-01,"Jean",NA,"La société gabonaise entre tradition et post-modernité : hétéroculture et dysculturation"
"136","Mahmoud",2004-01-01,"Jean-Marie",NA,"Constructions de la réalité sportive"
"137","Céline",2010-01-01,"Alain",NA,"La déconstruction des apparences : les représentations du corps dans la photographie contemporaine"
"138","Françoise",2007-01-01,"Daniel",NA,"Stratégies des femmes en migration : pratiques et pensées minoritaires : repenser les marges au centre"
"139","Élise",2007-01-01,"Emmanuel",NA,"Networks and regulation in a ""socially responsible"" financial market : waiting for competition..."
"140","Charlotte",2007-01-01,"François",NA,"Le service social du travail : des professionnelles en quête de légitimité"
"141","Emmanuel",2005-01-01,"Mohand",NA,"Contribution sociologique à une recherche sur l'homosexualité Masculine"
"142","Philippe",2007-01-01,"Jean-Paul",NA,"Les intervenants sociaux et l'insertion : constructions institutionnelles, pratiques et identités professionnelles : l'exemple du département de la Vienne"
"143","Michel",2006-01-01,"Lise",NA,"Groupes professionnels, politiques et établissements : l'influence et le travail des couches moyennes sur le système éducatif français : monographies menées dans l'Académie de Lille"
"144","Vincent",2001-01-01,"José",NA,"La formation des différences sociales de parcours scolaires dans le contexte actuel de l'orientation : de l'entrée en collège au passage en lycée"
"145","Florence",2001-01-01,"François",NA,"Les pratiques professionnelles des écrits électroniques entre technologie cognitive et technologie de communication"
"146","Marie-Odile",2002-01-01,"Michel",NA,"Le vendeur d'assurances face aux outils de gestion de la relation client : évolution de l'autonomie et des formes de coordination de l'activité commerciale salariée"
"147","Abdelali",2005-01-01,"Alain",NA,"Trajectoires individuelles et familiales d'immigrants maghrébins : réseaux, fratrie et mobilité sociale"
"148","Johann",2007-01-01,"Anne",NA,"La confiance médiatisée : la confiance et sa gestion au sein des communications médiatisées"
"149","Malick",2010-01-01,"Francis",NA,"Les limites des politiques de lutte contre la pauvreté en Afrique : le cas du Sénégal"
"150","Marc Florent Anicet",2007-01-01,"Nadir",NA,"Le commerce féminin et ses incidences sur le statut de la femme des couches moyennes à Libreville (Gabon)"
"151","Régis",2004-01-01,"Didier",NA,"De la norme à la responsabilité : l'expérience morale des bénévoles d'associations caritatives"
"152","Angélina",2002-01-01,"Pierre-Jean",NA,"Familles et filles marocaines à Rennes : enjeux et jeux de miroirs : ethnicité et culture"
"153","Raymond",2008-01-01,"Jean-Luc",NA,"Les immigrés Dominiquais dans les quartiers d'habitat précaire de Pointe-à-Pitre"
"154","David",2003-01-01,"Maurice",NA,"Les chemins de l'insertion : une étude empirique menée dans cinq pays européens pour une meilleure compréhension des processus d'insertion, d'exclusion et de reproduction des inégalités sociales"
"155","Nicolas",2009-01-01,"Philippe",NA,"Brest, de la ville militaire à la métropole occidentale de la Bretagne : constructions politiques de territoires et productions identitaires"
"156","Fateh",2004-01-01,"Jean-Paul",NA,"Les appelés de la guerre d'Algérie : sociologie d'une mémoire"
"157","Hélène",2004-01-01,"Lise",NA,"La structuration des fonctions d'encadrement dans le secteur de l'Éducation spécialisée : l'exem̀ple des directeurs d'établissements sociaux et médico-sociaux et des chefs de service éducatifs"
"158","Sylvain",2003-01-01,"Joëlle",NA,"Ethno-sociologie du cirque : arts de la piste, arts du corps, arts du risque"
"159","Evelyne",2007-01-01,"Michel","Charles-Henry","La Roumanie à la porte de l'Europe : de l'action gouvernementale à la difficile structuration de la société civile, analyse de la période 2000-2004"
"160","Jean",2008-01-01,"Georges","Éric","Être enseignant en lycée professionnel : construction d'une identité positive"
"161","Nancy",2005-01-01,"Didier","François","Mourir à l'heure du médecin : décisions de fin de vie et expériences des acteurs en réanimation"
"162","Jean-François",2004-01-01,"Antonio",NA,"La pérennisation des démarches de développement rural en milieu local : enjeux et limites"
"163","Omar",2003-01-01,"Philippe",NA,"L'entrée en délinquance et la socialisation juridique des mineurs incarcérés : analyse comparative entre des mineurs ""français"" et des mineurs ""maghrébins"""
"164","Chrystelle",2003-01-01,"Claude","Janine","Situations de vie et itinéraires génésiques dans un contexte de pandémie de SIDA à Bouaké (Côte d'Ivoire)"
"165","Élodie",2010-01-01,"Patrick",NA,"Relation formation-emploi : la construction de l'identité professionnelle des professeurs stagiaires en éducation physique et sportive : cohorte 2007-2008"
"166","Olivier",2003-01-01,"Anne",NA,"L'image dans la technoscience : de son utilisation et de son influence dans les sciences appliquées"
"167","Cécile",2003-01-01,"Jean-Michel",NA,"Les usages sociaux des voiliers : enjeux culturels des modes d'appropriation de la navigation"
"168","Martin",2001-01-01,"François",NA,"Les douces violences de la Saudade ou Les transgressions émotionnelles de l'ordre"
"169","Claire",2007-01-01,"Michel",NA,"Notables, militants, entrepreneurs : une histoire sociale du militantisme dans les cités"
"170","Laurent",2008-01-01,"Didier","Éric","Le processus de formation du ghetto dans une ville moyenne, Angoulême"
"171","Nathalie",2002-01-01,"Bruno",NA,"Art théâtral et/ou théâtralisation de la société : vers une sociologie de la formation théâtrale du comédien décentralisé"
"172","Michel",2007-01-01,"Didier","François","La démocratie confisquée : analyse sociologique d'un principe d'action publique : la participation des habitants à la politique de la ville"
"173","Pierre",2009-01-01,"Didier","Charles-Henry","B-e-r-g-e-r-a-c,. . . Archipel pavillonnaire : sociographie des transformations d'une petite ville"
"174","Charles",2009-01-01,"Nicole",NA,"Apprendre à écrire : les difficultés cognitives et sociales de l'apprentissage de l'écriture au CM2"
"175","Joanna",2005-01-01,"François","Roger","Défis à la mise en œuvre de la prévention de la transmission mère-enfant du VIH en Afrique australe : le cas d'un district rural du Zimbabwe"
"176","Anne",2010-01-01,"Jean-Pierre",NA,"La place du plaisir dans la socialisation alimentaire des enfants et des adolescents"
"177","Stéphane",2008-01-01,"Charles",NA,"Contribution à une socio-histoire de l'espace professionnel au regard des attributs de la « qualité » des productions bovines : d'un droit du sang à un droit du sol ?"
"178","Hassen",2000-01-01,"Jean-Michel",NA,"La professionnalisation du football français : un modèle de dénégation"
"179","Lambert",2005-01-01,"Mohand",NA,"Le fantôme dans la machine"
"180","Antoine",2005-01-01,"Anne-Marie",NA,"L' improvisation musicale : enjeux et contraintes sociales"
"181","Mong Hang",2001-01-01,"Khoa",NA,"Confucianisme et vietnamité de l'exil"
"182","Olivier",2008-01-01,"Alain",NA,"Une sociologie politique ""de"" et ""dans"" l'action publique de lutte contre les discriminations ethniques et raciales à l'emploi : construction sociale du problème public de la jeunesse et fabrication locale des référentiels des actions de prévention et de lutte contre les processus de désaffiliation"
"183","El-Medi",2008-01-01,"Nadir",NA,"Impact de la globalisation sur les fonctions de l'Etat en Libye"
"184","Emmanuel",2004-01-01,"Anne-Marie",NA,"Le rock en région : une sociologie des musiques amplifiées"
"185","Lotfi",2001-01-01,"Jean-Marie",NA,"Les pratiques physiques au Maroc entre la tradition et la modernité (1889-2000)"
"186","FRANCOIS",2001-01-01,"Freddy",NA,"Rwanda : eglise et societe. l'inculturation a l'epreuve du genocide."
"187","Hervé",2004-01-01,"Jean-Marc",NA,"La construction de l'identité sociale et professionnelle des gardiens-concierges du secteur HLM"
"188","CORINNE",2000-01-01,"Didier",NA,"Du desir d'enfant a l'""enfant i. A. D. "" : essai d'analyse sociologique du processus de parentalite dans les ""familles i.a.d.""."
"189","Ferdin",2008-01-01,"Alain",NA,"La place et le rôle des réseaux et des coopératives dans la perspective du développement agricole durable au Gabon"
"190","Isabelle",2002-01-01,"Van Thao",NA,"Le syndicalisme étudiant hier et aujourd'hui : de la guerre d'Algérie à nos jours, deux générations de militants ?"
"191","Safâa",2006-01-01,"Sylvette",NA,"Les femmes marocaines et la modernité urbaine (le cas de la ville de Rabat) : stratégies d'appropriation des espaces privé-public"
"192","Monique",2006-01-01,"Dominique",NA,"Pour une socio-anthropologie du maréchal-ferrant : jeux et enjeux de mémoire : une construction identitaire autour des savoirs et pratiques de métier"
"193","Jean-Paul",2010-01-01,"Marie-José",NA,"Représentations et valorisation de l'indigène par les élites en Colombie : une construction locale de l'altérité dans un contexte globalisé"
"194","Fannie",2009-01-01,"Barbara",NA,"Discours d'amateurs : les représentations de la danse"
"195","Hoang Truong",2010-01-01,"Van Thao",NA,"Etude sociologique des quartiers périphériques de Ho Chi Minh Ville : approche monographique de Bà Điêm (Hóc Môn) et Vĩnh Lộc A (Bình Chánh)"
